"player_name";"current_team";"goals"
"Tiago";"Minnesota United";"0"
"Ayoze";"NY Cosmos";"2"
"D. Russell";"Tampa Bay Rowdies";"3"
"D. Scott";"Carolina RailHawks";"0"
"E. Edward";"Edmonton";"0"
"G. Hristov";"Tampa Bay Rowdies";"9"
"D. King";"Fort Lauderdale Strikers";"2"
"D. Szetela";"NY Cosmos";"3"
"D. Beckie";"Ottawa Fury";"0"
"J. Chávez";"Atlanta Silverbacks";"9"
"K. Low";"Carolina RailHawks";"0"
"C. Nurse";"Fort Lauderdale Strikers";"1"
"D. Barrera";"San Antonio Scorpions";"2"
"S. DeRoux";"San Antonio Scorpions";"0"
"H. Freeman";"NY Cosmos";"1"
"N. Hlavaty";"Edmonton";"3"
"Oliver";"Ottawa Fury";"7"
"E. Norales";"Indy Eleven";"2"
"Daniel Mendes";"Minnesota United";"9"
"J. Frías";"Indy Eleven";"1"
"J. Gonzalez";"Atlanta Silverbacks";"0"
"J. James";"San Antonio Scorpions";"1"
"G. Janicki";"San Antonio Scorpions";"2"
"R. Jones";"Edmonton";"3"
"R. Menjívar";"San Antonio Scorpions";"0"
"K. Moses";"Edmonton";"1"
"A. Pitchkolan";"Minnesota United";"2"
"W. Restrepo";"San Antonio Scorpions";"3"
"M. Trafford";"Ottawa Fury";"0"
"A. Wallace";"Tampa Bay Rowdies";"1"
"N. Albadawi";"Carolina RailHawks";"3"
"M. Anderson";"Fort Lauderdale Strikers";"6"
"S. Antonijevic";"Fort Lauderdale Strikers";"0"
"M. Nonni";"Edmonton";"0"
"J. Chavez";"Fort Lauderdale Strikers";"0"
"P. Cruz";"Atlanta Silverbacks";"4"
"P. Davies";"Ottawa Fury";"1"
"J. Davis";"Minnesota United";"1"
"D. Diosa";"NY Cosmos";"1"
"C. Elizondo";"Carolina RailHawks";"5"
"Cristiano Dias";"Minnesota United";"0"
"B. Gavin";"Atlanta Silverbacks";"1"
"E. Hassli";"San Antonio Scorpions";"6"
"K. Hyland";"Indy Eleven";"0"
"Omar Jarun";"Ottawa Fury";"2"
"F. Jonke";"Edmonton";"0"
"L. Laing";"Edmonton";"7"
"Pecka";"Fort Lauderdale Strikers";"2"
"N. Paterson";"Ottawa Fury";"1"
"F. Picault";"Fort Lauderdale Strikers";"12"
"C. Raudales Martinez";"Edmonton";"0"
"B. Ring";"Indy Eleven";"1"
"J. Sandoval";"Atlanta Silverbacks";"7"
"Juliano ";"Minnesota United";"1"
"A. Watson";"Edmonton";"0"
"Rafael Alves";"Fort Lauderdale Strikers";"1"
"M. Ambersley";"Indy Eleven";"6"
"U. Bentick";"Carolina RailHawks";"0"
"A. Cann";"San Antonio Scorpions";"0"
"R. Canovas";"Atlanta Silverbacks";"0"
"R. Castillo";"San Antonio Scorpions";"7"
"Vini Dantas";"Ottawa Fury";"2"
"H. Elias";"Ottawa Fury";"0"
"E. Espinoza";"Atlanta Silverbacks";"0"
"C. Estridge";"Indy Eleven";"0"
"M. Eustaquio";"Ottawa Fury";"0"
"T. Heinemann";"Ottawa Fury";"6"
"Kléberson";"Indy Eleven";"8"
"J. Maurer";"NY Cosmos";"0"
"J. Nane";"NY Cosmos";"0"
"M. Núñez";"Fort Lauderdale Strikers";"5"
"S. Peña";"Indy Eleven";"0"
"V. Pineda";"Indy Eleven";"3"
"B. Reiss";"Atlanta Silverbacks";"0"
"R. Richter";"Ottawa Fury";"1"
"J. Rivera";"Atlanta Silverbacks";"0"
"R. Ryan";"Ottawa Fury";"1"
"D. Smart";"Indy Eleven";"2"
"M. Stokkelien";"NY Cosmos";"7"
"B. Wagner";"Tampa Bay Rowdies";"3"
"T. Zahorski";"San Antonio Scorpions";"6"
"J. Borrajo";"San Antonio Scorpions";"0"
"C. Burt";"Edmonton";"3"
"J. Burt";"Carolina RailHawks";"0"
"K. Čontofalský";"Fort Lauderdale Strikers";"0"
"O. Daley";"Minnesota United";"0"
"S. Dimitrov";"NY Cosmos";"2"
"Paulo Mendes";"NY Cosmos";"1"
"Pedro Mendes";"Indy Eleven";"0"
"A. Flores";"NY Cosmos";"1"
"B. Forbes";"San Antonio Scorpions";"4"
"D. Fordyce";"Edmonton";"6"
"E. Frimpong";"Tampa Bay Rowdies";"2"
"M. Gonzalez";"Fort Lauderdale Strikers";"0"
"H. Gorskie";"NY Cosmos";"0"
"J. Graye";"Carolina RailHawks";"0"
"M. Grella";"Carolina RailHawks";"2"
"S. Guenzatti";"NY Cosmos";"4"
"W. Hunt";"Tampa Bay Rowdies";"1"
"H. James";"Edmonton";"2"
"J. Johnson";"NY Cosmos";"1"
"G. Jordan";"Minnesota United";"1"
"J. Marcelin";"Fort Lauderdale Strikers";"0"
"D. Mares";"Indy Eleven";"0"
"R. Roushandel";"Atlanta Silverbacks";"1"
"D. McCaulay";"Atlanta Silverbacks";"3"
"N. Millington";"Carolina RailHawks";"0"
"L. Mkosana";"Tampa Bay Rowdies";"2"
"C. Moore";"Indy Eleven";"0"
"A. Navarro";"Edmonton";"0"
"M. Pickens";"Tampa Bay Rowdies";"0"
"K. Poku";"Atlanta Silverbacks";"2"
"M. Randolph";"Atlanta Silverbacks";"0"
"M. Reed";"Minnesota United";"0"
"C. Salazar";"Fort Lauderdale Strikers";"1"
"Z. Schilawski";"Carolina RailHawks";"9"
"Senna";"NY Cosmos";"4"
"F. Sousa";"Atlanta Silverbacks";"0"
"T. Ståhl";"Carolina RailHawks";"0"
"S. Touray";"San Antonio Scorpions";"3"
"C. Townsend";"Tampa Bay Rowdies";"3"
"S. Ubiparipović";"Ottawa Fury";"4"
"K. Venegas";"Minnesota United";"1"
"M. Aleksic";"Edmonton";"0"
"O. Ameobi";"Edmonton";"5"
"Maykon";"Ottawa Fury";"0"
"E. Ati";"Atlanta Silverbacks";"0"
"A. Bangura";"Atlanta Silverbacks";"0"
"M. Banner";"Edmonton";"0"
"D. Bingham";"San Antonio Scorpions";"0"
"M. Blanco";"Edmonton";"0"
"Jenison";"Fort Lauderdale Strikers";"1"
"T. Caesar";"San Antonio Scorpions";"2"
"B. Carr";"Atlanta Silverbacks";"0"
"D. Carrillo";"Atlanta Silverbacks";"0"
"S. Chin";"Fort Lauderdale Strikers";"3"
"K. Clinton";"Tampa Bay Rowdies";"0"
"A. Corrado";"Indy Eleven";"0"
"D. Díaz";"NY Cosmos";"1"
"M. Ebbers";"Fort Lauderdale Strikers";"1"
"D. Estrada";"Atlanta Silverbacks";"0"
"A. Fitzgerald";"Carolina RailHawks";"0"
"F. Franks";"Minnesota United";"0"
"M. Garcia";"Atlanta Silverbacks";"0"
"G. Gentile";"San Antonio Scorpions";"0"
"D. Gordon";"Fort Lauderdale Strikers";"0"
"I. Guerrero";"Fort Lauderdale Strikers";"0"
"S. Guillaume";"Fort Lauderdale Strikers";"0"
"S. Hill";"Tampa Bay Rowdies";"1"
"M. Ibarra";"Minnesota United";"8"
"J. Johnson";"Indy Eleven";"2"
"Brian Kallman";"Minnesota United";"0"
"Austen King";"Carolina RailHawks";"0"
"C. Lade";"NY Cosmos";"0"
"E. Martínez";"Carolina RailHawks";"6"
"C. Mendes";"NY Cosmos";"2"
"T. Mkandawire";"Tampa Bay Rowdies";"3"
"D. Murphy";"NY Cosmos";"0"
"J. Nasco";"Atlanta Silverbacks";"0"
"A. Noselli";"NY Cosmos";"1"
"F. Okiomah";"Indy Eleven";"0"
"L. Olguín";"Tampa Bay Rowdies";"0"
"L. Osaki";"Carolina RailHawks";"2"
"L. Paulini";"Atlanta Silverbacks";"0"
"R. Peiser";"Ottawa Fury";"0"
"C. Ramírez";"Minnesota United";"19"
"J. Rodrigues";"Tampa Bay Rowdies";"0"
"Rovérsio";"NY Cosmos";"0"
"C. Rugg";"Indy Eleven";"1"
"D. Sandoval";"Carolina RailHawks";"1"
"K. Savage";"Tampa Bay Rowdies";"1"
"T. Shipalane";"Carolina RailHawks";"5"
"B. Shriver";"Tampa Bay Rowdies";"2"
